SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 1,us,6,1932,0.00310559,0.510825624,0.001586415
Southeast Article 1,which,6,1932,0.00310559,0.405465108,0.001259208
Southeast Article 10,american,6,890,0.006741573,1.609437912,0.010850143
Southeast Article 10,but,6,890,0.006741573,0,0
Southeast Article 10,for,6,890,0.006741573,0,0
Southeast Article 10,more,6,890,0.006741573,0.143100844,0.000964725
Southeast Article 10,national,6,890,0.006741573,0.405465108,0.002733473
Southeast Article 10,security,6,890,0.006741573,1.609437912,0.010850143
Southeast Article 11,be,6,748,0.00802139,0,0
Southeast Article 11,blooms,6,748,0.00802139,2.014903021,0.016162324
Southeast Article 12,more,6,1147,0.005231037,0.143100844,0.000748566
Southeast Article 12,so,6,1147,0.005231037,0.223143551,0.001167272
Southeast Article 12,there,6,1147,0.005231037,0.510825624,0.002672148
Southeast Article 12,where,6,1147,0.005231037,1.32175584,0.006914154
Southeast Article 12,who,6,1147,0.005231037,0.405465108,0.002121003
Southeast Article 13,degrees,6,913,0.006571742,2.014903021,0.013241422
Southeast Article 13,models,6,913,0.006571742,1.609437912,0.01057681
Southeast Article 13,team,6,913,0.006571742,2.708050201,0.017796606
Southeast Article 13,wave,6,913,0.006571742,2.708050201,0.017796606
Southeast Article 14,by,6,671,0.008941878,0,0
Southeast Article 14,for,6,671,0.008941878,0,0
Southeast Article 14,said,6,671,0.008941878,0.223143551,0.001995322
Southeast Article 14,sanders,6,671,0.008941878,2.708050201,0.024215054
Southeast Article 15,be,6,1985,0.00302267,0,0
Southeast Article 15,health,6,1985,0.00302267,1.098612289,0.003320742
Southeast Article 15,humans,6,1985,0.00302267,1.609437912,0.0048648
Southeast Article 15,mortality,6,1985,0.00302267,2.708050201,0.008185542
Southeast Article 15,not,6,1985,0.00302267,0.143100844,0.000432547
Southeast Article 15,see,6,1985,0.00302267,0.628608659,0.001900077
Southeast Article 15,should,6,1985,0.00302267,0.916290732,0.002769645
Southeast Article 15,so,6,1985,0.00302267,0.223143551,0.000674489
Southeast Article 15,various,6,1985,0.00302267,2.708050201,0.008185542
Southeast Article 15,would,6,1985,0.00302267,0.762140052,0.002303698
Southeast Article 2,are,6,700,0.008571429,0.143100844,0.001226579
Southeast Article 2,climate,6,700,0.008571429,0,0
Southeast Article 2,for,6,700,0.008571429,0,0
Southeast Article 2,so,6,700,0.008571429,0.223143551,0.001912659
Southeast Article 2,threatens,6,700,0.008571429,2.708050201,0.023211859
Southeast Article 3,care,6,768,0.0078125,1.609437912,0.012573734
Southeast Article 3,culture,6,768,0.0078125,2.708050201,0.021156642
Southeast Article 3,not,6,768,0.0078125,0.143100844,0.001117975
Southeast Article 3,on,6,768,0.0078125,0,0
Southeast Article 4,an,6,1151,0.005212858,0.143100844,0.000745964
Southeast Article 4,at,6,1151,0.005212858,0,0
Southeast Article 4,bonds,6,1151,0.005212858,2.708050201,0.014116682
Southeast Article 4,city,6,1151,0.005212858,1.098612289,0.00572691
Southeast Article 4,his,6,1151,0.005212858,0.628608659,0.003276848
Southeast Article 4,it,6,1151,0.005212858,0,0
Southeast Article 4,leaders,6,1151,0.005212858,1.32175584,0.006890126
Southeast Article 4,sewage,6,1151,0.005212858,2.708050201,0.014116682
Southeast Article 4,was,6,1151,0.005212858,0.143100844,0.000745964
Southeast Article 5,americans,6,885,0.006779661,1.098612289,0.007448219
Southeast Article 5,on,6,885,0.006779661,0,0
Southeast Article 5,texas,6,885,0.006779661,1.609437912,0.010911443
Southeast Article 5,their,6,885,0.006779661,0.143100844,0.000970175
Southeast Article 6,are,6,684,0.00877193,0.143100844,0.001255271
Southeast Article 6,as,6,684,0.00877193,0.143100844,0.001255271
Southeast Article 6,blue,6,684,0.00877193,2.014903021,0.017674588
Southeast Article 6,can,6,684,0.00877193,0.143100844,0.001255271
Southeast Article 6,ocean,6,684,0.00877193,1.609437912,0.014117876
Southeast Article 7,administration,6,1582,0.003792668,0.510825624,0.001937392
